CATEGORY,DESCRIPTION,AMOUNT,TYPE,DATE
entertainment,Theme Park Admission,74,expense,1671047473723
rent,Apartment Rent,38,expense,1670879418155
transportation,Train Ticket,926,income,1692844844211
entertainment,Theme Park Admission,716,income,1689776858905
income,Salary,440,expense,1671836881122
education,Exam Fees,526,income,1674566078104
freelance,Art Commission,826,income,1680374750721
education,Workshops,666,income,1671351397183
income,Rent Income,392,expense,1666370376758
savings,Retirement Fund Contribution,72,expense,1667438715070
healthcare,Prescription Medication,746,income,1688047993191
salary,Overtime Pay,794,income,1666162435190
miscellaneous,Donations,694,income,1684913129338
personal,Laundry Detergent,694,income,1695356689637
rent,Property Lease,42,expense,1676547614075
gift,Baby Shower Gift,976,income,1666851766904
food,Restaurant,910,income,1671163322726
savings,IRA Contribution,384,expense,1695025017136
freelance,Art Commission,976,income,1687382297428
salary,Bi-weekly Salary,886,income,1666568394646
miscellaneous,Lost Property,500,income,1676623489415
savings,Vacation Fund Savings,532,income,1689257885029
gift,Baby Shower Gift,182,expense,1682889471510
miscellaneous,Lost Property,38,expense,1677179599624
income,Stock Dividends,100,expense,1672059632219
rent,Office Space Rent,872,income,1674849876017
rent,Apartment Rent,594,income,1670881846541
food,Food Truck,600,income,1670347264319
entertainment,Hobbies,110,expense,1680731153647
rent,Parking Space Rent,504,income,1678558032446
entertainment,Hobbies,946,income,1672035707565
gift,Wedding Gift,876,income,1673778229417
education,Books,196,expense,1690046475195
miscellaneous,Lottery Tickets,20,expense,1679568761487
healthcare,Dental Checkup,366,expense,1674701189191
healthcare,Emergency Room,30,expense,1674152407981
transportation,Uber Ride,224,expense,1678228297570
rent,Storage Unit Rent,734,income,1689604212189
rent,Room Rental,946,income,1665924758450
income,Salary,132,expense,1688868523686
clothing,Winter Coats,458,expense,1678915442535
clothing,Accessories,234,expense,1694177984165
transportation,Public Transportation,148,expense,1684975030893
entertainment,Amusement Park,818,income,1674584082484
savings,Savings Account Interest,366,expense,1674545636688
entertainment,Amusement Park,406,expense,1694444252900
rent,Room Rental,996,income,1685601446658
gift,Gift Money,638,income,1689359089167
housing,Furniture Purchase,972,income,1676701283457
income,Interest Income,90,expense,1669753761367
salary,Sales Bonuses,626,income,1691247598828
miscellaneous,ATM Withdrawal,138,expense,1679942578203
miscellaneous,Stamps/Postage,714,income,1672826564375
education,Tutoring,632,income,1686953896652
miscellaneous,Magazine Subscription,258,expense,1696074913136
personal,Cosmetics,290,expense,1687720410826
salary,Bi-weekly Salary,410,expense,1694012202393
gift,Graduation Gift,242,expense,1677988286569
personal,Cosmetics,880,income,1694655477277
gift,Graduation Gift,302,expense,1696582737875
healthcare,Doctor Visit,818,income,1688168450867
salary,Year-End Bonus,594,income,1672111871760
gift,Birthday Gift,738,income,1667149691863
entertainment,Amusement Park,386,expense,1668440123151
food,Groceries,164,expense,1686000220897
food,Groceries,288,expense,1696819544619
clothing,Dry Cleaning,196,expense,1675815272562
freelance,Client Payment,964,income,1677015377974
rent,Parking Space Rent,566,income,1692323399025
healthcare,Prescription Medication,196,expense,1687382029653
salary,Sales Bonuses,556,income,1684836305760
savings,College Savings Deposit,496,expense,1687715188902
utilities,Electricity,730,income,1674050331622
clothing,Uniforms,0,expense,1678804962337
food,Takeout,700,income,1686160005908
salary,Annual Bonus,514,income,1672058148349
freelance,Client Payment,576,income,1680535776690
freelance,Copywriting,820,income,1691627039648
rent,Apartment Rent,532,income,1679287429003
transportation,Subway Pass,896,income,1681688353502
freelance,Consulting Invoice,128,expense,1689349731076
healthcare,Dental Checkup,406,expense,1669286060613
personal,Laundry Detergent,828,income,1690064671810
income,Interest Income,574,income,1696026589800
utilities,Internet,834,income,1672607110640
food,Supermarket,708,income,1683186535408
clothing,Accessories,756,income,1668829958734
entertainment,Concert Tickets,62,expense,1666709489410
personal,Personal Care Products,372,expense,1695135427256
gift,Graduation Gift,984,income,1691010761760
gift,Christmas Gift,124,expense,1692087007738
income,Interest Income,938,income,1691869679186
income,Investment Income,8,expense,1672980535690
miscellaneous,Magazine Subscription,14,expense,1668872470216
miscellaneous,Lost Property,670,income,1682778400847
housing,Apartment Deposit,600,income,1678405438718
education,Educational Seminars,476,expense,1683020503607
food,Fast Food,172,expense,1684595442120
food,Cafeteria,506,income,1670060663800
utilities,Internet,184,expense,1683103163556
transportation,Uber Ride,36,expense,1675745726160
transportation,Taxi Fare,872,income,1666492822547
income,Rent Income,632,income,1670518671731
rent,Storage Unit Rent,966,income,1670974457917
utilities,Electricity,766,income,1692162526685
education,Tuition,90,expense,1669015272622
income,Royalties,490,expense,1686471556695
investment,Certificates of Deposit (CD),524,income,1696075219408
food,Supermarket,334,expense,1666700327050
utilities,Sewer Service,758,income,1691500159093
education,Student Loan Payment,456,expense,1690464065151
income,Rent Income,252,expense,1676382944471
entertainment,Streaming Services,74,expense,1681709168081
savings,High-Yield Savings Account Interest,514,income,1669917903879
utilities,Propane,798,income,1674254917316
miscellaneous,Stamps/Postage,166,expense,1688009975972
investment,Royalty Income,894,income,1679603991248
miscellaneous,ATM Withdrawal,774,income,1668621539019
savings,Retirement Fund Contribution,180,expense,1693850840731
utilities,Sewer Service,268,expense,1682400314234
investment,Certificates of Deposit (CD),784,income,1689152248555
food,Coffee Shop,210,expense,1674460061602
utilities,Cable TV,210,expense,1691238946958
clothing,Winter Coats,482,expense,1667533134158
investment,Certificates of Deposit (CD),498,expense,1693794319339
investment,Rental Property Income,910,income,1675637493214
utilities,Phone Bill,318,expense,1690654865205
food,Food Truck,860,income,1695643644198
entertainment,Video Games,378,expense,1692113986429
salary,Year-End Bonus,212,expense,1687268110324
utilities,Sewer Service,460,expense,1696815411124
investment,Selling Investments,208,expense,1676123008492
utilities,Water,796,income,1671118657491
clothing,Sportswear,888,income,1693470828624
housing,Rent,424,expense,1681339815868
utilities,Heating Oil,736,income,1687116341427
healthcare,Prescription Medication,592,income,1671128470372
utilities,Heating Oil,658,income,1687412858680
salary,Monthly Salary,416,expense,1695732936192
salary,Employee Stock Options,958,income,1692412598642
investment,Selling Investments,364,expense,1686270491356
personal,Pet Grooming,668,income,1686657504538
investment,Interest on Investments,186,expense,1675338724590
miscellaneous,Stamps/Postage,80,expense,1666065261273
rent,Commercial Space Rent,278,expense,1690712270280
utilities,Internet,156,expense,1668166886068
salary,Employee Stock Options,520,income,1674767012151
investment,Interest on Investments,750,income,1677394267267
food,Cafeteria,358,expense,1679043106334
salary,Bi-weekly Salary,408,expense,1681694057097
rent,Property Lease,134,expense,1668615913784
savings,Savings Account Interest,914,income,1676272741505
education,Tuition,802,income,1685405200210
income,Stock Dividends,70,expense,1669655776943
miscellaneous,Stamps/Postage,584,income,1674992899154
personal,Spa Day,740,income,1687937247259
transportation,Gasoline,994,income,1678661229947
gift,Christmas Gift,832,income,1673744589216
food,Restaurant,194,expense,1690648186307
personal,Personal Care Products,28,expense,1684035873718
housing,Furniture Purchase,534,income,1674891179363
clothing,Laundry Service,770,income,1697012957636
personal,Toiletries,696,income,1682319048393
clothing,Clothing Store,922,income,1671833150249
transportation,Public Transportation,936,income,1679678345542
rent,Room Rental,72,expense,1692429306542
miscellaneous,Stamps/Postage,88,expense,1672420063200
food,Groceries,536,income,1670197291241
investment,Capital Gains,6,expense,1688501667961
freelance,Freelance Gig,938,income,1684679342923
transportation,Toll Road,40,expense,1681162452292
gift,Gift Vouchers,240,expense,1693475053650
entertainment,Video Games,398,expense,1677453885657
housing,Utilities Deposit,186,expense,1671155650939
food,Food Delivery,912,income,1669538419539
clothing,Winter Coats,150,expense,1679411711009
entertainment,Streaming Services,398,expense,1689603932475
food,Fast Food,224,expense,1687477179457
freelance,Contract Work,684,income,1693503681815
entertainment,Museum Visits,66,expense,1696497533837
rent,Apartment Rent,578,income,1674840854471
income,Online Sales,968,income,1688454221789
clothing,Accessories,170,expense,1684573171390
utilities,Internet,80,expense,1687401793183
rent,Parking Space Rent,512,income,1696794506739
transportation,Gasoline,122,expense,1667985260672
rent,Vacation Rental,312,expense,1670438293559
clothing,Laundry Service,688,income,1687869776507
transportation,Uber Ride,84,expense,1669258827011
housing,Utilities Deposit,454,expense,1672739803306
miscellaneous,Bank Fees,498,expense,1685947418263
entertainment,Museum Visits,626,income,1695341430216
education,Educational Seminars,130,expense,1696996000876
housing,Storage Unit Rent,604,income,1679782486985
investment,Selling Investments,168,expense,1667821414410
personal,Pet Grooming,652,income,1670197426505
utilities,Phone Bill,758,income,1675453220390
rent,Vacation Rental,84,expense,1679268364528
rent,Vacation Rental,518,income,1687027726306
entertainment,Amusement Park,1000,income,1677552628992
entertainment,Museum Visits,782,income,1667476588448
transportation,Parking Fee,914,income,1675301812439
transportation,Gasoline,406,expense,1679484195289
rent,Room Rental,402,expense,1674256389409
investment,Capital Gains,606,income,1676421195050
utilities,Electricity,980,income,1692413461920
education,Student Loan Payment,826,income,1677890297769
utilities,Heating Oil,178,expense,1677254873235
gift,Birthday Gift,996,income,1673109541479
investment,Capital Gains,12,expense,1691597267566
savings,Vacation Fund Savings,324,expense,1682796537620
freelance,Project Fee,930,income,1685376195931
clothing,Tailoring,868,income,1691777760807
food,Restaurant,36,expense,1691722101988
entertainment,Concerts,824,income,1683353322676
entertainment,Concert Tickets,420,expense,1686642365051
education,Books,490,expense,1685515040212
clothing,Sportswear,546,income,1685362579758
transportation,Subway Pass,428,expense,1684884584372
food,Food Truck,688,income,1672212957015
miscellaneous,Lost Property,704,income,1666354198476
housing,Apartment Deposit,532,income,1672952538889
income,Salary,888,income,1685966208993
miscellaneous,Stamps/Postage,592,income,1686552968653
salary,Employee Stock Options,148,expense,1692864257377
miscellaneous,ATM Withdrawal,636,income,1677720147056
savings,Rainy Day Fund Deposit,776,income,1691810631348
miscellaneous,Shipping Costs,342,expense,1693783396810
entertainment,Concerts,356,expense,1670757816488
food,Restaurant,408,expense,1677655069080
salary,Year-End Bonus,588,income,1692800184426
salary,Overtime Pay,368,expense,1690219420497
salary,Sales Bonuses,228,expense,1680464008896
rent,Apartment Rent,374,expense,1666726160547
housing,Utilities Deposit,66,expense,1678856285610
utilities,Phone Bill,652,income,1676903345541
income,Stock Dividends,282,expense,1676954582362
utilities,Heating Oil,786,income,1676061874344
entertainment,Hobbies,42,expense,1677762570935
miscellaneous,Shipping Costs,384,expense,1677402368366
savings,Investment Account Deposit,990,income,1684232072917
clothing,Tailoring,684,income,1682934715045
freelance,Contract Work,150,expense,1689154538469
freelance,Copywriting,570,income,1689321143987
healthcare,Health Insurance,828,income,1690797026923
personal,Gym Membership,14,expense,1687662840406
gift,Gift Cards,992,income,1683076918585
investment,Rental Property Income,654,income,1667811873300
personal,Cosmetics,958,income,1673431805902
clothing,Accessories,356,expense,1679748787567
salary,Commissions,736,income,1669927491895
housing,Mortgage,450,expense,1677489538525
transportation,Toll Road,482,expense,1678930927776
salary,Overtime Pay,382,expense,1682194819152
utilities,Heating Oil,300,expense,1674744351253
utilities,Natural Gas,424,expense,1696290503979
savings,Emergency Fund Deposit,912,income,1689292092612
rent,Parking Space Rent,446,expense,1672459004788
food,Restaurant,414,expense,1695644746609
clothing,Clothing Store,26,expense,1687579991820
investment,Selling Investments,110,expense,1690008557762
freelance,Art Commission,426,expense,1682710769206
utilities,Electricity,382,expense,1694874890247
clothing,Clothing Store,314,expense,1677007445168
investment,Certificates of Deposit (CD),250,expense,1686620394448
income,Freelance Income,852,income,1685035976339
housing,Apartment Deposit,558,income,1678208759524
savings,Vacation Fund Savings,56,expense,1687226916595
salary,Commissions,566,income,1678151517028
education,Online Courses,214,expense,1690216718226
income,Royalties,88,expense,1665939964308
healthcare,Medical Supplies,744,income,1695277569281
freelance,Project Fee,2,expense,1687382094665
rent,Storage Unit Rent,714,income,1684723182114
investment,Stock Dividends,446,expense,1693172255554
entertainment,Concert Tickets,286,expense,1694071339524
miscellaneous,Pawn Shop,460,expense,1670777321282
entertainment,Theme Park Admission,770,income,1696337162693
rent,Apartment Rent,12,expense,1687794957900
freelance,Freelance Commission,684,income,1696308792487
entertainment,Video Games,924,income,1678811383968
investment,Capital Gains,578,income,1696305794040
gift,Gift Money,658,income,1669145647466
salary,Monthly Salary,380,expense,1689893672109
healthcare,Medical Tests,854,income,1675905763499
savings,Investment Account Deposit,364,expense,1679138750285
food,Bakery,828,income,1681975560450
freelance,Project Fee,444,expense,1683257771970
miscellaneous,Lottery Tickets,750,income,1691185129629
salary,Holiday Pay,486,expense,1681704412314
food,Cafeteria,622,income,1666155741666
housing,Utilities Deposit,886,income,1686618405902
gift,Surprise Gift,402,expense,1687245742783
education,Educational Seminars,952,income,1671788677185
rent,House Rent,344,expense,1667460570617
miscellaneous,ATM Withdrawal,362,expense,1680942743214
miscellaneous,Bank Fees,334,expense,1675048132429
freelance,Client Payment,66,expense,1693226858830
transportation,Bicycle Repair,400,expense,1666561954477
housing,Apartment Deposit,348,expense,1680318508707
clothing,Tailoring,686,income,1678108906282
healthcare,Prescription Medication,140,expense,1690077944199
rent,Room Rental,98,expense,1671297975353
income,Business Income,806,income,1687398716378
rent,Room Rental,246,expense,1671691057913
education,Books,546,income,1678174585856
utilities,Internet,782,income,1680640132624
freelance,Consulting Invoice,368,expense,1668817624725
clothing,Winter Coats,718,income,1677704144879
savings,Rainy Day Fund Deposit,62,expense,1684270253075
entertainment,Amusement Park,190,expense,1679387771825
freelance,Web Design Project,936,income,1686694827087
food,Food Delivery,334,expense,1677405086217
investment,Capital Gains,78,expense,1675241220230
rent,House Rent,508,income,1692438709834
clothing,Dry Cleaning,828,income,1691306230894
freelance,Contract Work,744,income,1676119778881
food,Cafeteria,606,income,1679344028227
freelance,Art Commission,212,expense,1682733117877
income,Royalties,0,expense,1677465037342
miscellaneous,ATM Withdrawal,586,income,1681140193708
utilities,Electricity,120,expense,1667278271983
freelance,Freelance Gig,306,expense,1695985023122
rent,Retail Space Rent,402,expense,1680461807028
freelance,Freelance Gig,8,expense,1673619711929
salary,Commissions,726,income,1674006400930
salary,Employee Benefits,608,income,1666296394262
utilities,Electricity,160,expense,1691794994258
rent,Property Lease,718,income,1693530530808
miscellaneous,ATM Withdrawal,338,expense,1673697533844
gift,Anniversary Gift,864,income,1681885472363
clothing,Shoes,248,expense,1674096088518
food,Coffee Shop,64,expense,1671821388944
utilities,Sewer Service,380,expense,1677207530343
gift,Gift Money,262,expense,1666722872716
rent,Apartment Rent,112,expense,1674927212774
transportation,Uber Ride,56,expense,1694858558594
housing,Mortgage,234,expense,1681531227161
miscellaneous,Stamps/Postage,204,expense,1681259153997
transportation,Uber Ride,226,expense,1677120507909
gift,Baby Shower Gift,472,expense,1694538882280
food,Groceries,526,income,1677066892257
entertainment,Amusement Park,644,income,1683285040978
freelance,Online Freelancing,306,expense,1673369214632
housing,Rent,418,expense,1682460628978
freelance,Consulting Invoice,44,expense,1674135982463
healthcare,Health Insurance,628,income,1670366171063
investment,Stock Dividends,384,expense,1678883312439
income,Investment Income,736,income,1683724541005
utilities,Water,872,income,1679602053609
housing,Home Repairs,592,income,1673273587555
education,Educational Seminars,530,income,1671068402670
personal,Haircut,186,expense,1693758643571
utilities,Water,70,expense,1689587935503
gift,Anniversary Gift,720,income,1690002105675
gift,Gift Vouchers,644,income,1688266903336
utilities,Garbage Collection,460,expense,1693908239206
housing,Utilities Deposit,22,expense,1672254481770
transportation,Subway Pass,644,income,1669795418904
food,Groceries,894,income,1674220400283
education,Books,76,expense,1687677175135
salary,Holiday Pay,30,expense,1687747579037
education,Books,196,expense,1673644736489
income,Rent Income,280,expense,1679118115548
investment,Capital Gains,904,income,1692634331460
housing,Rent,152,expense,1667325993208
education,Tutoring,840,income,1672758108768
healthcare,Medical Supplies,784,income,1689586905116
education,School Supplies,306,expense,1692445124180
transportation,Bicycle Repair,388,expense,1695510750877
miscellaneous,Pawn Shop,10,expense,1689879713810
healthcare,Health Insurance,230,expense,1679253434510
entertainment,Theme Park Admission,382,expense,1682304258133
transportation,Car Rental,626,income,1679251083617
utilities,Garbage Collection,838,income,1696062092433
housing,Property Tax,494,expense,1692145225097
education,Workshops,582,income,1679577222709
transportation,Public Transportation,350,expense,1693642953278
transportation,Car Rental,558,income,1668429413717
entertainment,Theater Shows,142,expense,1675347966985
transportation,Bicycle Repair,64,expense,1666076968054
transportation,Uber Ride,208,expense,1673862841471
rent,Storage Unit Rent,802,income,1685043608447
transportation,Bicycle Repair,754,income,1676501445066
entertainment,Movie Tickets,624,income,1669407147577
gift,Gift Cards,578,income,1675590307285
freelance,Freelance Gig,992,income,1674719037015
transportation,Taxi Fare,394,expense,1682567346451
savings,Savings Account Interest,348,expense,1689900851762
investment,Royalty Income,362,expense,1684210205307
savings,Vacation Fund Savings,436,expense,1666496591080
healthcare,Health Insurance,796,income,1697035967153
salary,Sales Bonuses,482,expense,1688686141869
income,Rent Income,844,income,1696920290583
education,Tuition,582,income,1672063365156
healthcare,Doctor Visit,598,income,1670125521943
entertainment,Theater Shows,918,income,1680677958922
healthcare,Prescription Medication,858,income,1677786784481
salary,Holiday Pay,144,expense,1687124896964
entertainment,Theater Shows,876,income,1672703373267
housing,HOA Fees,108,expense,1692319867444
savings,Savings Account Interest,238,expense,1688293792301
food,Groceries,934,income,1696040618949
personal,Haircut,4,expense,1688445398236
miscellaneous,ATM Withdrawal,904,income,1666213914419
salary,Bi-weekly Salary,284,expense,1690151484242
personal,Cosmetics,558,income,1669257840401
freelance,Freelance Gig,946,income,1666060518377
entertainment,Theater Shows,684,income,1666858350292
clothing,Tailoring,328,expense,1689394645011
salary,Commissions,272,expense,1668976942185
rent,Retail Space Rent,518,income,1665787304944
freelance,Web Design Project,908,income,1689651724629
income,Business Income,204,expense,1681633085895
food,Groceries,608,income,1672687276282
investment,Royalty Income,268,expense,1690813085639
transportation,Bicycle Repair,194,expense,1668034233589
savings,Rainy Day Fund Deposit,28,expense,1675178011202
freelance,Web Design Project,704,income,1679976820568
rent,Retail Space Rent,678,income,1678169846367
investment,Real Estate Income,616,income,1686836682377
income,Interest Income,958,income,1690385872820
savings,Emergency Fund Deposit,540,income,1678699600358
freelance,Copywriting,454,expense,1685747861238
clothing,Shoes,26,expense,1679757728821
clothing,Accessories,838,income,1692330402986
income,Rent Income,724,income,1681832976412
miscellaneous,ATM Withdrawal,624,income,1686318971838
food,Bakery,500,expense,1687502569743
education,Workshops,440,expense,1679007212448
entertainment,Concert Tickets,808,income,1681295689122
freelance,Project Fee,116,expense,1697066268155
clothing,Dry Cleaning,894,income,1696892610113
food,Fast Food,356,expense,1688373319030
utilities,Propane,454,expense,1683399631093
healthcare,Medical Supplies,238,expense,1677375737359
housing,Rent,778,income,1696843792984
freelance,Client Payment,808,income,1670669279830
clothing,Uniforms,102,expense,1683308374689
income,Salary,94,expense,1692614732822
salary,Employee Benefits,226,expense,1687322908435
income,Stock Dividends,426,expense,1688272348040
rent,Apartment Rent,458,expense,1678961393303
entertainment,Amusement Park,546,income,1667706552834
savings,401(k) Contribution,250,expense,1671038411472
entertainment,Streaming Services,252,expense,1680773812356
education,Educational Software,282,expense,1682579710896
gift,Gift Cards,164,expense,1693237240135
miscellaneous,Magazine Subscription,666,income,1697257184831
savings,Emergency Fund Deposit,276,expense,1689856155689
salary,Annual Bonus,992,income,1689525885225
transportation,Public Transportation,450,expense,1694622225938
income,Investment Income,746,income,1677991634088
salary,Overtime Pay,302,expense,1686423037704
freelance,Project Fee,898,income,1683854969604
income,Consulting Fees,470,expense,1665821216681
healthcare,Medical Supplies,52,expense,1687898447465
freelance,Client Payment,422,expense,1691255372361
food,Fast Food,166,expense,1675396125458
investment,Selling Investments,534,income,1693887645557
transportation,Car Rental,96,expense,1667541352489
personal,Tattoo/Piercing,940,income,1696724694538
salary,Sales Bonuses,998,income,1686630436416
education,Workshops,744,income,1692598194345
savings,IRA Contribution,280,expense,1692346318463
personal,Laundry Detergent,252,expense,1678894992662
income,Stock Dividends,70,expense,1685566300126
housing,Property Tax,470,expense,1681550045074
salary,Commissions,836,income,1690543892610
personal,Pet Grooming,748,income,1674051378575
utilities,Natural Gas,400,expense,1667626904696
entertainment,Museum Visits,282,expense,1680068521439
personal,Haircut,352,expense,1686845499756
income,Online Sales,742,income,1691856790403
income,Freelance Income,624,income,1669130023731
housing,Home Repairs,558,income,1673325304667
clothing,Winter Coats,752,income,1682445397488
gift,Gift Vouchers,384,expense,1672217146034
savings,Savings Account Interest,792,income,1688686679072
income,Interest Income,560,income,1674169641542
housing,HOA Fees,188,expense,1685569311070
gift,Wedding Gift,550,income,1679413372893
income,Freelance Income,190,expense,1690761925481
clothing,Shoes,26,expense,1674127033220
savings,Emergency Fund Deposit,32,expense,1691953505991
income,Online Sales,50,expense,1681965425584
entertainment,Movie Tickets,962,income,1671977068466
entertainment,Hobbies,946,income,1675037107433
education,Books,380,expense,1682808905151
personal,Cosmetics,700,income,1684180698144
clothing,Tailoring,272,expense,1679142555670
income,Freelance Income,190,expense,1686637754615
transportation,Toll Road,714,income,1687840819837
investment,Royalty Income,404,expense,1694161442840
investment,Rental Property Income,338,expense,1679651688368
savings,Savings Account Interest,778,income,1694367814087
utilities,Propane,610,income,1680685541769
salary,Employee Benefits,864,income,1673086228042
entertainment,Streaming Services,376,expense,1673688627591
personal,Tattoo/Piercing,214,expense,1694938047502
salary,Overtime Pay,922,income,1674834443019
gift,Gift Money,0,expense,1691919244044
food,Food Delivery,238,expense,1690352429340
salary,Monthly Salary,640,income,1673945362425
education,Tuition,746,income,1676192968904
utilities,Water,470,expense,1680531149234
freelance,Freelance Commission,580,income,1690847201880
savings,Retirement Fund Contribution,22,expense,1666177481846
salary,Monthly Salary,484,expense,1677455047520
transportation,Train Ticket,972,income,1681858717421
housing,Utilities Deposit,20,expense,1693851184136
personal,Personal Care Products,896,income,1667197150673
utilities,Cable TV,500,income,1667603900313
savings,401(k) Contribution,38,expense,1684374819549
savings,College Savings Deposit,1000,income,1675011325548
investment,Selling Investments,710,income,1686587151507
personal,Laundry Detergent,50,expense,1695034416757
personal,Personal Care Products,884,income,1671172875424
food,Food Delivery,326,expense,1689267471452
healthcare,Medical Tests,454,expense,1675819227273
rent,Apartment Rent,164,expense,1679049975258
gift,Graduation Gift,806,income,1672370432775
food,Fast Food,8,expense,1667194748397
gift,Baby Shower Gift,986,income,1682158630653
rent,Storage Unit Rent,160,expense,1697134507819
utilities,Phone Bill,514,income,1694253524657
housing,Furniture Purchase,750,income,1682339174278
gift,Anniversary Gift,686,income,1689597427669
savings,College Savings Deposit,444,expense,1676412532410
personal,Cosmetics,712,income,1692889485760
income,Stock Dividends,744,income,1675575907698
healthcare,Prescription Medication,640,income,1683920095572
rent,Vacation Rental,498,expense,1689495812972
education,Educational Seminars,524,income,1670574409681
freelance,Contract Work,100,expense,1680458932333
salary,Annual Bonus,750,income,1676951695148
entertainment,Concert Tickets,930,income,1692110219975
entertainment,Theater Shows,850,income,1684831399669
rent,Commercial Space Rent,364,expense,1683476655240
clothing,Winter Coats,190,expense,1685840749589
gift,Gift Money,660,income,1671984502714
utilities,Propane,540,income,1668611128515
freelance,Art Commission,748,income,1667857456499
food,Food Truck,890,income,1671185323354
healthcare,Vitamins/Supplements,54,expense,1688866690106
salary,Year-End Bonus,268,expense,1666419653216
investment,Selling Investments,228,expense,1683581304501
education,Tutoring,286,expense,1676971466659
investment,Royalty Income,60,expense,1671483356086
utilities,Natural Gas,694,income,1677628261654
savings,Vacation Fund Savings,548,income,1683062507258
gift,Anniversary Gift,180,expense,1683031154061
food,Fast Food,944,income,1696155324026
miscellaneous,Recreation,412,expense,1684886400515
miscellaneous,Donations,402,expense,1685769105855
transportation,Taxi Fare,100,expense,1676843622439
transportation,Train Ticket,456,expense,1676975076651
clothing,Clothing Store,428,expense,1674386867203
salary,Annual Bonus,796,income,1695187392804
miscellaneous,Magazine Subscription,322,expense,1684586082254
education,Workshops,996,income,1668090908058
income,Interest Income,926,income,1675359496722
personal,Spa Day,700,income,1678574865009
salary,Bi-weekly Salary,828,income,1686697703508
education,Books,452,expense,1692774448182
freelance,Project Fee,626,income,1682816324816
utilities,Heating Oil,968,income,1678614803728
entertainment,Concerts,400,expense,1696129176291
clothing,Clothing Store,218,expense,1669051664114
income,Online Sales,786,income,1673717725194
salary,Annual Bonus,124,expense,1688998967536
healthcare,Health Insurance,704,income,1675825629526
rent,Apartment Rent,804,income,1678572524359
education,Books,352,expense,1691356349570
miscellaneous,Shipping Costs,768,income,1696559419621
education,Tuition,574,income,1682560400071
personal,Personal Care Products,978,income,1673524538166
education,Student Loan Payment,458,expense,1685695938513
salary,Monthly Salary,716,income,1685592922696
food,Groceries,30,expense,1694870817637
income,Royalties,524,income,1674012360545
salary,Employee Stock Options,182,expense,1667952762656
transportation,Gasoline,424,expense,1684000189917
savings,IRA Contribution,526,income,1691157905051
entertainment,Hobbies,292,expense,1696722320502
transportation,Bicycle Repair,878,income,1665828815145
freelance,Consulting Invoice,240,expense,1691712730241
savings,Emergency Fund Deposit,130,expense,1696373128595
miscellaneous,ATM Withdrawal,278,expense,1694870530691
food,Cafeteria,330,expense,1681602114136
utilities,Heating Oil,494,expense,1692855540049
savings,College Savings Deposit,590,income,1686557480847
miscellaneous,Stamps/Postage,374,expense,1690900110900
rent,Room Rental,760,income,1675601506108
clothing,Winter Coats,670,income,1691585004699
utilities,Heating Oil,606,income,1669498153460
salary,Annual Bonus,572,income,1683446677464
food,Food Truck,580,income,1684977865066
healthcare,Emergency Room,560,income,1694673089522
education,Educational Seminars,396,expense,1682846980053
housing,Home Repairs,768,income,1674460449987
entertainment,Video Games,952,income,1668383946963
housing,Furniture Purchase,616,income,1665814115491
savings,High-Yield Savings Account Interest,736,income,1673463946521
savings,Retirement Fund Contribution,804,income,1673379475519
savings,Rainy Day Fund Deposit,456,expense,1689794870409
education,Workshops,172,expense,1672489767636
healthcare,Vitamins/Supplements,896,income,1680133887516
personal,Cosmetics,550,income,1673712997159
transportation,Subway Pass,320,expense,1681049212407
personal,Massage,794,income,1671119069262
salary,Employee Stock Options,612,income,1670453485672
utilities,Natural Gas,734,income,1666272733036
utilities,Natural Gas,504,income,1683137264562
food,Food Delivery,760,income,1687993809307
miscellaneous,Magazine Subscription,514,income,1677747730561
food,Fast Food,674,income,1696043694918
salary,Overtime Pay,568,income,1678682953893
miscellaneous,Pawn Shop,730,income,1692960793264
salary,Overtime Pay,630,income,1669321947746
salary,Annual Bonus,490,expense,1673573885412
transportation,Parking Fee,468,expense,1677880703352
utilities,Cable TV,742,income,1684538505898
utilities,Phone Bill,846,income,1675559322588
housing,HOA Fees,314,expense,1684252112872
healthcare,Medical Supplies,520,income,1677686584657
personal,Laundry Detergent,832,income,1688682714648
salary,Overtime Pay,450,expense,1694325871506
education,Tutoring,964,income,1675061444231
gift,Christmas Gift,586,income,1688229775527
housing,Home Insurance,366,expense,1677414692045
freelance,Web Design Project,364,expense,1677231407440
miscellaneous,Lost Property,96,expense,1685778080922
income,Investment Income,204,expense,1675004646209
transportation,Train Ticket,336,expense,1676398506464
rent,Office Space Rent,916,income,1694008021188
clothing,Accessories,814,income,1675113691380
healthcare,Dental Checkup,838,income,1674310805745
gift,Birthday Gift,750,income,1676074395024
gift,Baby Shower Gift,872,income,1695693333337
rent,Storage Unit Rent,492,expense,1678562955992
housing,Rent,516,income,1677479310071
miscellaneous,Recreation,726,income,1696522411907
entertainment,Hobbies,420,expense,1689833591264
housing,Storage Unit Rent,744,income,1670809336996
gift,Surprise Gift,410,expense,1676163579582
miscellaneous,Pawn Shop,396,expense,1666881515858
food,Restaurant,970,income,1673951611256
freelance,Art Commission,578,income,1670310156387
transportation,Subway Pass,918,income,1666601860728
investment,Real Estate Income,278,expense,1692601523800
education,Books,994,income,1673483450521
salary,Bi-weekly Salary,688,income,1692853295800
entertainment,Concerts,958,income,1679364814214
